taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
1001 0 1 64 2030 1 1 jonquera-ga-8-cores C5 C4
1002 0 1 64 390 1 1 jonquera-ga-8-cores C5 C4
1003 0 1 64 410 1 1 jonquera-ga-8-cores C5 C4
1004 0 1 64 350 1 1 jonquera-ga-8-cores C5 C4
1005 0 1 64 2010 1 1 jonquera-ga-8-cores C5 C4
1006 0 1 64 470 1 1 jonquera-ga-8-cores C5 C4
1007 0 1 64 660 1 1 jonquera-ga-8-cores C5 C4
1008 0 1 64 900 1 1 jonquera-ga-8-cores C5 C4
1009 0 1 64 410 1 1 jonquera-ga-8-cores C5 C4
1010 0 1 64 350 1 1 jonquera-ga-8-cores C5 C4
1011 0 1 64 410 1 1 jonquera-ga-8-cores C5 C4
1012 0 1 64 580 1 1 jonquera-ga-8-cores C5 C4
1013 0 1 64 350 1 1 jonquera-ga-8-cores C5 C4
1014 0 1 64 850 1 1 jonquera-ga-8-cores C5 C4
1015 0 1 64 1600 1 1 jonquera-ga-8-cores C5 C4
1016 0 1 64 370 1 1 jonquera-ga-8-cores C5 C4
1017 0 1 64 240 1 1 jonquera-ga-8-cores C5 C4
1018 0 1 64 1230 1 1 jonquera-ga-8-cores C5 C4
1019 0 1 64 1720 1 1 jonquera-ga-8-cores C5 C4
1020 0 1 64 830 1 1 jonquera-ga-8-cores C5 C4
1021 0 1 64 680 1 1 jonquera-ga-8-cores C5 C4
1022 0 1 64 1000 1 1 jonquera-ga-8-cores C5 C4
1023 0 1 64 1650 1 1 jonquera-ga-8-cores C5 C4
1024 0 1 64 430 1 1 jonquera-ga-8-cores C5 C4
1025 0 1 64 640 1 1 jonquera-ga-8-cores C5 C4
1026 0 1 64 1740 1 1 jonquera-ga-8-cores C5 C4
1027 0 1 64 680 1 1 jonquera-ga-8-cores C5 C4
1028 0 1 64 2280 1 1 jonquera-ga-8-cores C5 C4
1029 0 1 64 730 1 1 jonquera-ga-8-cores C5 C4
1030 0 1 64 540 1 1 jonquera-ga-8-cores C5 C4
1031 0 1 64 1380 1 1 jonquera-ga-8-cores C5 C4
1032 0 1 64 3590 1 1 jonquera-ga-8-cores C5 C4
1033 0 1 64 1540 1 1 jonquera-ga-8-cores C5 C4
1034 0 1 64 730 1 1 jonquera-ga-8-cores C5 C4
1035 0 1 64 1950 1 1 jonquera-ga-8-cores C5 C4
1036 0 1 64 1110 1 1 jonquera-ga-8-cores C5 C4
1037 0 1 64 640 1 1 jonquera-ga-8-cores C5 C4
1038 0 1 64 1600 1 1 jonquera-ga-8-cores C5 C4
1039 0 1 64 450 1 1 jonquera-ga-8-cores C5 C4
1040 0 1 64 490 1 1 jonquera-ga-8-cores C5 C4
1041 0 1 64 660 1 1 jonquera-ga-8-cores C5 C4
1042 0 1 64 1490 1 1 jonquera-ga-8-cores C5 C4
1043 0 1 64 390 1 1 jonquera-ga-8-cores C5 C4
1044 0 1 64 1300 1 1 jonquera-ga-8-cores C5 C4
1045 0 1 64 410 1 1 jonquera-ga-8-cores C5 C4
1046 0 1 64 950 1 1 jonquera-ga-8-cores C5 C4
1047 0 1 64 750 1 1 jonquera-ga-8-cores C5 C4
1048 0 1 64 450 1 1 jonquera-ga-8-cores C5 C4
1049 0 1 64 470 1 1 jonquera-ga-8-cores C5 C4
1050 0 1 64 1040 1 1 jonquera-ga-8-cores C5 C4
1051 0 1 64 1820 1 1 jonquera-ga-8-cores C5 C4
1052 0 1 64 470 1 1 jonquera-ga-8-cores C5 C4
1053 0 1 64 220 1 1 jonquera-ga-8-cores C5 C4
1054 0 1 64 410 1 1 jonquera-ga-8-cores C5 C4
1055 0 1 64 2860 1 1 jonquera-ga-8-cores C5 C4
1056 0 1 64 1540 1 1 jonquera-ga-8-cores C5 C4
1057 0 1 64 1560 1 1 jonquera-ga-8-cores C5 C4
1058 0 1 64 1560 1 1 jonquera-ga-8-cores C5 C4
1059 0 1 64 370 1 1 jonquera-ga-8-cores C5 C4
1060 0 1 64 2690 1 1 jonquera-ga-8-cores C5 C4
1061 0 1 64 750 1 1 jonquera-ga-8-cores C5 C4
1062 0 1 64 430 1 1 jonquera-ga-8-cores C5 C4
1063 0 1 64 970 1 1 jonquera-ga-8-cores C5 C4
1064 0 1 64 280 1 1 jonquera-ga-8-cores C5 C4
2001 3590 2 60 750 1 1 jonquera-ga-8-cores C5 C4
2002 3590 2 60 1180 1 1 jonquera-ga-8-cores C5 C4
2003 3590 2 60 940 1 1 jonquera-ga-8-cores C5 C4
2004 3590 2 60 1510 1 1 jonquera-ga-8-cores C5 C4
2005 3590 2 60 1650 1 1 jonquera-ga-8-cores C5 C4
2006 3590 2 60 350 1 1 jonquera-ga-8-cores C5 C4
2007 3590 2 60 1450 1 1 jonquera-ga-8-cores C5 C4
2008 3590 2 60 1750 1 1 jonquera-ga-8-cores C5 C4
2009 3590 2 60 270 1 1 jonquera-ga-8-cores C5 C4
2010 3590 2 60 730 1 1 jonquera-ga-8-cores C5 C4
2011 3590 2 60 920 1 1 jonquera-ga-8-cores C5 C4
2012 3590 2 60 880 1 1 jonquera-ga-8-cores C5 C4
2013 3590 2 60 510 1 1 jonquera-ga-8-cores C5 C4
2014 3590 2 60 1750 1 1 jonquera-ga-8-cores C5 C4
2015 3590 2 60 330 1 1 jonquera-ga-8-cores C5 C4
