taskId time jobId jobSize nCores runtime user peer TraceID Cluster.IAT Cluster.RT
1001 0 1 64 8 310 1 1 jonquera-ga-8-cores C5 C4
1002 0 1 64 8 770 1 1 jonquera-ga-8-cores C5 C4
1003 0 1 64 8 800 1 1 jonquera-ga-8-cores C5 C4
1004 0 1 64 8 890 1 1 jonquera-ga-8-cores C5 C4
1005 0 1 64 8 170 1 1 jonquera-ga-8-cores C5 C4
1006 0 1 64 4 150 1 1 jonquera-ga-8-cores C5 C4
1007 0 1 64 4 600 1 1 jonquera-ga-8-cores C5 C4
1008 0 1 64 4 210 1 1 jonquera-ga-8-cores C5 C4
1009 0 1 64 4 410 1 1 jonquera-ga-8-cores C5 C4
1010 0 1 64 4 830 1 1 jonquera-ga-8-cores C5 C4
1011 0 1 64 4 180 1 1 jonquera-ga-8-cores C5 C4
1012 0 1 64 2 200 1 1 jonquera-ga-8-cores C5 C4
1013 0 1 64 2 980 1 1 jonquera-ga-8-cores C5 C4
1014 0 1 64 2 290 1 1 jonquera-ga-8-cores C5 C4
1015 0 1 64 2 370 1 1 jonquera-ga-8-cores C5 C4
1016 0 1 64 2 270 1 1 jonquera-ga-8-cores C5 C4
1017 0 1 64 1 60 1 1 jonquera-ga-8-cores C5 C4
1018 0 1 64 1 270 1 1 jonquera-ga-8-cores C5 C4
1019 0 1 64 1 300 1 1 jonquera-ga-8-cores C5 C4
1020 0 1 64 1 30 1 1 jonquera-ga-8-cores C5 C4
1021 0 1 64 1 40 1 1 jonquera-ga-8-cores C5 C4
1022 0 1 64 1 330 1 1 jonquera-ga-8-cores C5 C4
1023 0 1 64 1 150 1 1 jonquera-ga-8-cores C5 C4
1024 0 1 64 1 420 1 1 jonquera-ga-8-cores C5 C4
1025 0 1 64 1 310 1 1 jonquera-ga-8-cores C5 C4
1026 0 1 64 1 170 1 1 jonquera-ga-8-cores C5 C4
1027 0 1 64 1 190 1 1 jonquera-ga-8-cores C5 C4
1028 0 1 64 1 340 1 1 jonquera-ga-8-cores C5 C4
1029 0 1 64 1 290 1 1 jonquera-ga-8-cores C5 C4
1030 0 1 64 1 530 1 1 jonquera-ga-8-cores C5 C4
1031 0 1 64 1 760 1 1 jonquera-ga-8-cores C5 C4
1032 0 1 64 1 590 1 1 jonquera-ga-8-cores C5 C4
1033 0 1 64 1 890 1 1 jonquera-ga-8-cores C5 C4
1034 0 1 64 1 40 1 1 jonquera-ga-8-cores C5 C4
1035 0 1 64 1 360 1 1 jonquera-ga-8-cores C5 C4
1036 0 1 64 1 620 1 1 jonquera-ga-8-cores C5 C4
1037 0 1 64 1 140 1 1 jonquera-ga-8-cores C5 C4
1038 0 1 64 1 600 1 1 jonquera-ga-8-cores C5 C4
1039 0 1 64 1 150 1 1 jonquera-ga-8-cores C5 C4
1040 0 1 64 1 600 1 1 jonquera-ga-8-cores C5 C4
1041 0 1 64 1 420 1 1 jonquera-ga-8-cores C5 C4
1042 0 1 64 1 1100 1 1 jonquera-ga-8-cores C5 C4
