taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
 553675   9685  161    85 3268   1   1 gwa-t10 C5 C4
 553676   9685  161    85  377   1   1 gwa-t10 C5 C4
 553677   9685  161    85 4881   1   1 gwa-t10 C5 C4
 553678   9685  161    85 2028   1   1 gwa-t10 C5 C4
 553679   9685  161    85 2677   1   1 gwa-t10 C5 C4
 553680   9685  161    85 2772   1   1 gwa-t10 C5 C4
 553681   9685  161    85 3029   1   1 gwa-t10 C5 C4
 553682   9685  161    85 3698   1   1 gwa-t10 C5 C4
 553683   9685  161    85 1283   1   1 gwa-t10 C5 C4
 553684   9685  161    85 2040   1   1 gwa-t10 C5 C4
 553685   9685  161    85 1068   1   1 gwa-t10 C5 C4
 553686   9685  161    85 2185   1   1 gwa-t10 C5 C4
 553687   9685  161    85 2058   1   1 gwa-t10 C5 C4
 553688   9685  161    85 2272   1   1 gwa-t10 C5 C4
 553689   9685  161    85 1078   1   1 gwa-t10 C5 C4
 553690   9685  161    85  590   1   1 gwa-t10 C5 C4
 553691   9685  161    85 4989   1   1 gwa-t10 C5 C4
 553692   9685  161    85 2557   1   1 gwa-t10 C5 C4
 553693   9685  161    85 1773   1   1 gwa-t10 C5 C4
 553694   9685  161    85 4238   1   1 gwa-t10 C5 C4
 553695   9685  161    85  452   1   1 gwa-t10 C5 C4
 553696   9685  161    85 5957   1   1 gwa-t10 C5 C4
 553697   9685  161    85 4602   1   1 gwa-t10 C5 C4
 553698   9685  161    85 2839   1   1 gwa-t10 C5 C4
 553699   9685  161    85 4670   1   1 gwa-t10 C5 C4
 553700   9685  161    85 4186   1   1 gwa-t10 C5 C4
 553701   9685  161    85 5579   1   1 gwa-t10 C5 C4
 553702   9685  161    85 1746   1   1 gwa-t10 C5 C4
 553703   9685  161    85 3500   1   1 gwa-t10 C5 C4
 553704   9685  161    85 3522   1   1 gwa-t10 C5 C4
 553705   9685  161    85 6056   1   1 gwa-t10 C5 C4
 553706   9685  161    85 1911   1   1 gwa-t10 C5 C4
 553707   9685  161    85 1012   1   1 gwa-t10 C5 C4
 553708   9685  161    85 1553   1   1 gwa-t10 C5 C4
 553709   9685  161    85  646   1   1 gwa-t10 C5 C4
 553710   9685  161    85 1842   1   1 gwa-t10 C5 C4
 553711   9685  161    85 5596   1   1 gwa-t10 C5 C4
 553712   9685  161    85 3706   1   1 gwa-t10 C5 C4
 553713   9685  161    85 4728   1   1 gwa-t10 C5 C4
 553714   9685  161    85 2642   1   1 gwa-t10 C5 C4
 553715   9685  161    85 2267   1   1 gwa-t10 C5 C4
 553716   9685  161    85 1816   1   1 gwa-t10 C5 C4
 553717   9685  161    85 3107   1   1 gwa-t10 C5 C4
 553718   9685  161    85 3639   1   1 gwa-t10 C5 C4
 553719   9685  161    85  639   1   1 gwa-t10 C5 C4
 553720   9685  161    85 1624   1   1 gwa-t10 C5 C4
 553721   9685  161    85 1798   1   1 gwa-t10 C5 C4
 553722   9685  161    85 1090   1   1 gwa-t10 C5 C4
 553723   9685  161    85 1986   1   1 gwa-t10 C5 C4
 553724   9685  161    85 4758   1   1 gwa-t10 C5 C4
 553725   9685  161    85 1411   1   1 gwa-t10 C5 C4
 553726   9685  161    85 2152   1   1 gwa-t10 C5 C4
 553727   9685  161    85  434   1   1 gwa-t10 C5 C4
 553728   9685  161    85 3680   1   1 gwa-t10 C5 C4
 553729   9685  161    85  811   1   1 gwa-t10 C5 C4
 553730   9685  161    85 2421   1   1 gwa-t10 C5 C4
 553731   9685  161    85 5081   1   1 gwa-t10 C5 C4
 553732   9685  161    85 3997   1   1 gwa-t10 C5 C4
 553733   9685  161    85 3624   1   1 gwa-t10 C5 C4
 553734   9685  161    85 2704   1   1 gwa-t10 C5 C4
 553735   9685  161    85 3853   1   1 gwa-t10 C5 C4
 553736   9685  161    85 2931   1   1 gwa-t10 C5 C4
 553737   9685  161    85  189   1   1 gwa-t10 C5 C4
 553738   9685  161    85 1716   1   1 gwa-t10 C5 C4
 553739   9685  161    85 2948   1   1 gwa-t10 C5 C4
 553740   9685  161    85 2980   1   1 gwa-t10 C5 C4
 553741   9685  161    85 2554   1   1 gwa-t10 C5 C4
 553742   9685  161    85 2234   1   1 gwa-t10 C5 C4
 553743   9685  161    85 2321   1   1 gwa-t10 C5 C4
 553744   9685  161    85 4679   1   1 gwa-t10 C5 C4
 553745   9685  161    85 1748   1   1 gwa-t10 C5 C4
 553746   9685  161    85 3078   1   1 gwa-t10 C5 C4
 553747   9685  161    85 1665   1   1 gwa-t10 C5 C4
 553748   9685  161    85  986   1   1 gwa-t10 C5 C4
 553749   9685  161    85 1726   1   1 gwa-t10 C5 C4
 553750   9685  161    85 6082   1   1 gwa-t10 C5 C4
 553751   9685  161    85 1664   1   1 gwa-t10 C5 C4
 553752   9685  161    85 1006   1   1 gwa-t10 C5 C4
 553753   9685  161    85 1896   1   1 gwa-t10 C5 C4
 553754   9685  161    85 7159   1   1 gwa-t10 C5 C4
 553755   9685  161    85 2375   1   1 gwa-t10 C5 C4
 553756   9685  161    85 1736   1   1 gwa-t10 C5 C4
 553757   9685  161    85 1074   1   1 gwa-t10 C5 C4
 553758   9685  161    85  136   1   1 gwa-t10 C5 C4
 553759   9685  161    85  243   1   1 gwa-t10 C5 C4
 197012  90288   71  9843 2757   8   8 gwa-t10 C2 C2
