vCPU 	ECU 	Memory (GiB) 	Instance Storage (GB) 	Linux/UNIX Usage
General Purpose - Current Generation
a1.medium 	1 	N/A 	2 GiB 	EBS Only 	$0.0255 per Hour
a1.large 	2 	N/A 	4 GiB 	EBS Only 	$0.051 per Hour
a1.xlarge 	4 	N/A 	8 GiB 	EBS Only 	$0.102 per Hour
a1.2xlarge 	8 	N/A 	16 GiB 	EBS Only 	$0.204 per Hour
a1.4xlarge 	16 	N/A 	32 GiB 	EBS Only 	$0.408 per Hour
t3.nano 	2 	Variable 	0.5 GiB 	EBS Only 	$0.0052 per Hour
t3.micro 	2 	Variable 	1 GiB 	EBS Only 	$0.0104 per Hour
t3.small 	2 	Variable 	2 GiB 	EBS Only 	$0.0208 per Hour
t3.medium 	2 	Variable 	4 GiB 	EBS Only 	$0.0416 per Hour
t3.large 	2 	Variable 	8 GiB 	EBS Only 	$0.0832 per Hour
t3.xlarge 	4 	Variable 	16 GiB 	EBS Only 	$0.1664 per Hour
t3.2xlarge 	8 	Variable 	32 GiB 	EBS Only 	$0.3328 per Hour
t3a.nano 	2 	Variable 	0.5 GiB 	EBS Only 	$0.0047 per Hour
t3a.micro 	2 	Variable 	1 GiB 	EBS Only 	$0.0094 per Hour
t3a.small 	2 	Variable 	2 GiB 	EBS Only 	$0.0188 per Hour
t3a.medium 	2 	Variable 	4 GiB 	EBS Only 	$0.0376 per Hour
t3a.large 	2 	Variable 	8 GiB 	EBS Only 	$0.0752 per Hour
t3a.xlarge 	4 	Variable 	16 GiB 	EBS Only 	$0.1504 per Hour
t3a.2xlarge 	8 	Variable 	32 GiB 	EBS Only 	$0.3008 per Hour
t2.nano 	1 	Variable 	0.5 GiB 	EBS Only 	$0.0058 per Hour
t2.micro 	1 	Variable 	1 GiB 	EBS Only 	$0.0116 per Hour
t2.small 	1 	Variable 	2 GiB 	EBS Only 	$0.023 per Hour
t2.medium 	2 	Variable 	4 GiB 	EBS Only 	$0.0464 per Hour
t2.large 	2 	Variable 	8 GiB 	EBS Only 	$0.0928 per Hour
t2.xlarge 	4 	Variable 	16 GiB 	EBS Only 	$0.1856 per Hour
t2.2xlarge 	8 	Variable 	32 GiB 	EBS Only 	$0.3712 per Hour
m5.large 	2 	8 	8 GiB 	EBS Only 	$0.096 per Hour
m5.xlarge 	4 	16 	16 GiB 	EBS Only 	$0.192 per Hour
m5.2xlarge 	8 	31 	32 GiB 	EBS Only 	$0.384 per Hour
m5.4xlarge 	16 	60 	64 GiB 	EBS Only 	$0.768 per Hour
m5.8xlarge 	32 	131 	128 GiB 	EBS Only 	$1.536 per Hour
m5.12xlarge 	48 	173 	192 GiB 	EBS Only 	$2.304 per Hour
m5.16xlarge 	64 	262 	256 GiB 	EBS Only 	$3.072 per Hour
m5.24xlarge 	96 	345 	384 GiB 	EBS Only 	$4.608 per Hour
m5.metal 	96 	345 	384 GiB 	EBS Only 	$4.608 per Hour
m5a.large 	2 	N/A 	8 GiB 	EBS Only 	$0.086 per Hour
m5a.xlarge 	4 	N/A 	16 GiB 	EBS Only 	$0.172 per Hour
m5a.2xlarge 	8 	N/A 	32 GiB 	EBS Only 	$0.344 per Hour
m5a.4xlarge 	16 	N/A 	64 GiB 	EBS Only 	$0.688 per Hour
m5a.8xlarge 	32 	N/A 	128 GiB 	EBS Only 	$1.376 per Hour
m5a.12xlarge 	48 	N/A 	192 GiB 	EBS Only 	$2.064 per Hour
