instance nNodes nJobs nTasks costPerTask sumOfTasksMakespan totalCost sumOfJobsMakespan
c5.18xlarge 1 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 2 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 4 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 8 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 16 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 32 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 64 10 604 0.0507 134066 30.6000 6238
c5.18xlarge 128 10 604 0.0507 134066 30.6000 6238
c5.9xlarge 1 10 604 0.0253 208998 15.3000 9218
c5.9xlarge 2 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 4 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 8 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 16 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 32 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 64 10 604 0.0507 167946 30.6000 7816
c5.9xlarge 128 10 604 0.0507 167946 30.6000 7816
c5.4xlarge 1 10 604 0.0113 341956 6.8000 13361
c5.4xlarge 2 10 604 0.0225 206463 13.6000 8978
c5.4xlarge 4 10 604 0.0450 154522 27.2000 7190
c5.4xlarge 8 10 604 0.0450 154522 27.2000 7190
c5.4xlarge 16 10 604 0.0450 154522 27.2000 7190
c5.4xlarge 32 10 604 0.0450 154522 27.2000 7190
c5.4xlarge 64 10 604 0.0450 154522 27.2000 7190
c5.4xlarge 128 10 604 0.0450 154522 27.2000 7190
c5.2xlarge 1 10 604 0.0056 623714 3.4000 22189
c5.2xlarge 2 10 604 0.0113 341956 6.8000 13361
c5.2xlarge 4 10 604 0.0225 206463 13.6000 8978
c5.2xlarge 8 10 604 0.0450 154522 27.2000 7190
c5.2xlarge 16 10 604 0.0450 154522 27.2000 7190
c5.2xlarge 32 10 604 0.0450 154522 27.2000 7190
c5.2xlarge 64 10 604 0.0450 154522 27.2000 7190
c5.2xlarge 128 10 604 0.0450 154522 27.2000 7190
c5.xlarge 1 10 604 0.0053 1193020 3.2300 40753
c5.xlarge 2 10 604 0.0056 623714 3.4000 22189
c5.xlarge 4 10 604 0.0113 341956 6.8000 13361
c5.xlarge 8 10 604 0.0225 206463 13.6000 8978
c5.xlarge 16 10 604 0.0425 154522 25.6700 7190
c5.xlarge 32 10 604 0.0425 154522 25.6700 7190
c5.xlarge 64 10 604 0.0425 154522 25.6700 7190
c5.xlarge 128 10 604 0.0425 154522 25.6700 7190
c5.large 1 10 604 0.0038 2204838 2.2950 73989
c5.large 2 10 604 0.0046 1126747 2.8050 38489
c5.large 4 10 604 0.0056 589044 3.4000 20954
c5.large 8 10 604 0.0113 322949 6.8000 12618
c5.large 16 10 604 0.0225 195004 13.6000 8479
c5.large 32 10 604 0.0425 145934 25.6700 6791
c5.large 64 10 604 0.0425 145934 25.6700 6791
c5.large 128 10 604 0.0425 145934 25.6700 6791
