instance nNodes nJobs nTasks costPerTask sumOfTasksMakespan totalCost sumOfJobsMakespan
c5.18xlarge 1 10 604 0.0507 79089 30.6000 3159
c5.18xlarge 2 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 4 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 8 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 16 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 32 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 64 10 604 0.0963 58821 58.1400 2288
c5.18xlarge 128 10 604 0.0963 58821 58.1400 2288
c5.9xlarge 1 10 604 0.0253 286414 15.3000 9670
c5.9xlarge 2 10 604 0.0507 99003 30.6000 3956
c5.9xlarge 4 10 604 0.0760 73636 45.9000 2867
c5.9xlarge 8 10 604 0.0760 73636 45.9000 2867
c5.9xlarge 16 10 604 0.0760 73636 45.9000 2867
c5.9xlarge 32 10 604 0.0760 73636 45.9000 2867
c5.9xlarge 64 10 604 0.0760 73636 45.9000 2867
c5.9xlarge 128 10 604 0.0760 73636 45.9000 2867
c5.4xlarge 1 10 604 0.0124 655650 7.4800 21090
c5.4xlarge 2 10 604 0.0225 299503 13.6000 9940
c5.4xlarge 4 10 604 0.0450 109624 27.2000 4260
c5.4xlarge 8 10 604 0.0721 67762 43.5200 2637
c5.4xlarge 16 10 604 0.0721 67762 43.5200 2637
c5.4xlarge 32 10 604 0.0721 67762 43.5200 2637
c5.4xlarge 64 10 604 0.0721 67762 43.5200 2637
c5.4xlarge 128 10 604 0.0721 67762 43.5200 2637
c5.2xlarge 1 10 604 0.0101 1800820 6.1200 57702
c5.2xlarge 2 10 604 0.0118 666804 7.1400 21386
c5.2xlarge 4 10 604 0.0225 316576 13.6000 10497
c5.2xlarge 8 10 604 0.0450 109624 27.2000 4260
c5.2xlarge 16 10 604 0.0681 67762 41.1400 2637
c5.2xlarge 32 10 604 0.0681 67762 41.1400 2637
c5.2xlarge 64 10 604 0.0681 67762 41.1400 2637
c5.2xlarge 128 10 604 0.0681 67762 41.1400 2637
c5.xlarge 1 0 1 0.0000 36 0.0000 0
c5.xlarge 2 0 2 0.0000 178 0.0000 0
c5.xlarge 4 0 4 0.0000 325 0.0000 0
c5.xlarge 8 0 10 0.0000 1000 0.0000 0
c5.xlarge 16 0 41 0.0000 3879 0.0000 0
